report_id,length_ratio,chrf,ter,cosine_sim,bertscore_p,bertscore_r,bertscore_f1
RPT_003495,0.9850746268656716,51.64124702112844,0.6567164179104478,0.9729902744293213,0.9562678337097168,0.954138994216919,0.9552022218704224
RPT_003496,0.9852941176470589,50.23745806930731,0.7352941176470589,0.97340989112854,0.9542190432548523,0.9503985643386841,0.952305018901825
RPT_003497,0.9565217391304348,49.47017919723513,0.7246376811594203,0.9805872440338135,0.9565578699111938,0.9538195133209229,0.9551867246627808
RPT_003498,0.9411764705882353,48.95225196675205,0.7352941176470589,0.979712963104248,0.9514208436012268,0.9457740783691406,0.9485890865325928
RPT_003499,1.0116279069767442,54.25090830253514,0.6744186046511628,0.9773334860801697,0.9563267827033997,0.9568078517913818,0.9565672874450684
RPT_003500,0.9272727272727272,47.78649067354435,0.7090909090909091,0.9799110889434814,0.948853611946106,0.9453667402267456,0.9471069574356079
RPT_003501,0.9666666666666667,51.17880686873507,0.7166666666666667,0.970273494720459,0.9564439058303833,0.9551424384117126,0.9557927846908569
RPT_003502,0.9333333333333333,53.45008976866112,0.6555555555555556,0.9582424163818359,0.9577015042304993,0.9544462561607361,0.9560710787773132
RPT_003503,1.0,54.20033990070073,0.625,0.9719762206077576,0.9618042707443237,0.9611078500747681,0.9614559412002563
RPT_003504,0.9855072463768116,50.03484395765418,0.7391304347826086,0.9829423427581787,0.9586018919944763,0.954763650894165,0.9566789269447327
RPT_003505,1.0158730158730158,49.99898999686517,0.6984126984126984,0.9712253212928772,0.9530114531517029,0.9500653743743896,0.9515360593795776
RPT_003506,0.9838709677419355,49.67274764349384,0.7258064516129032,0.9691045880317688,0.9511390328407288,0.9466941356658936,0.9489114284515381
RPT_003507,0.9848484848484849,53.74590053978168,0.6212121212121212,0.9653496146202087,0.9604052305221558,0.9577445983886719,0.9590730667114258
RPT_003508,0.95,47.88673032783225,0.7666666666666667,0.9687053561210632,0.9494141340255737,0.9464002251625061,0.9479047656059265
RPT_003509,0.9272727272727272,48.8260283050174,0.6909090909090909,0.9784128665924072,0.9477514028549194,0.9441241025924683,0.9459342956542969
RPT_003510,0.9873417721518988,51.564260402367154,0.7341772151898734,0.967792809009552,0.9484555721282959,0.9459465742111206,0.9471994042396545
RPT_003511,0.967741935483871,54.16134716799328,0.6612903225806451,0.9822366237640381,0.9546998739242554,0.9539638161659241,0.9543316960334778
RPT_003512,0.9629629629629629,50.42597988146448,0.6851851851851852,0.9811612367630005,0.9487192630767822,0.9455666542053223,0.9471403360366821
RPT_003513,0.9468085106382979,55.28367590851321,0.6276595744680851,0.9860278367996216,0.9596109390258789,0.9573712944984436,0.9584898352622986
RPT_003514,0.9538461538461539,48.592906122904076,0.7384615384615385,0.9716495871543884,0.9486478567123413,0.9461241960525513,0.9473842978477478
RPT_003515,0.9636363636363636,57.3201324388067,0.6181818181818182,0.9346542954444885,0.9611232876777649,0.9603461027145386,0.960734486579895
RPT_003516,0.9574468085106383,53.42904364424359,0.6595744680851063,0.8794494867324829,0.9582722187042236,0.9536951184272766,0.9559782147407532
RPT_003517,0.9615384615384616,55.364125632933735,0.6538461538461539,0.9495707750320435,0.9619710445404053,0.9605408906936646,0.9612554311752319
RPT_003518,1.0,53.0910182047637,0.6349206349206349,0.9298105239868164,0.9548032879829407,0.9517433643341064,0.9532709121704102
RPT_003519,1.0,55.82844169765357,0.6415094339622641,0.947589635848999,0.9597601294517517,0.9593441486358643,0.9595520496368408
RPT_003520,0.9577464788732394,53.47237288877656,0.6619718309859155,0.9793222546577454,0.9516782760620117,0.9506413340568542,0.9511594772338867
RPT_003521,0.9272727272727272,44.22339788590121,0.8,0.9194256067276001,0.949169397354126,0.9468197822570801,0.9479931592941284
RPT_003522,1.0,55.82844169765357,0.6415094339622641,0.947589635848999,0.9597601294517517,0.9593441486358643,0.9595520496368408
RPT_003523,1.0232558139534884,45.44640108562664,0.7441860465116279,0.8506882190704346,0.9407850503921509,0.939277708530426,0.9400307536125183
